area,district,address,name
九龍東,觀塘區,成業街15-17號 成運工業大廈 1樓 12-14舗,巧得鍋
九龍東,觀塘區,駱駝漆大廈第二期C2地舖,金羅道韓國餐廳
九龍東,黃大仙區,竹園黃大仙銀鳳街22號,雄興美食
九龍東,黃大仙區,竹園正德街136號130,意八餐廳
九龍西,九龍城區,城南道24-28號昌旺樓C,印度咖哩王餐廳
九龍西,九龍城區,龍崗道地下及閣樓,清真牛肉館
九龍西,油尖旺區,旺角登打士街32-34A號歐美廣場,常悅素食
九龍西,油尖旺區,旺角通菜街236號,Lava Bar And Restauran
九龍西,深水埗區,桂林街42-44號恆誠大廈地下,椰汁大王
九龍西,深水埗區,荔枝角道256號,飛鷹餐廳
新界東,北區,上水河上鄉1049地段地下,Gugu Soy
新界東,北區,上水巷仔街6號地舖,碧姐泰國菜
新界東,大埔區,大埔安邦路3號號大埔中心15座,牛陣
新界東,大埔區,大埔舊墟直街9號粵發大廈地下1號舖,八妹雞煲
新界東,沙田區,沙田沙田正街11-17號,Xiao Wang Beef Noodle
新界東,沙田區,沙田沙田第一城中心G65,第一城冰站
新界東,西貢區,將軍澳唐德街9號,滿記甜品
新界東,西貢區,西貢市場街49號,六福菜館
新界西,元朗區,炮仗坊14號地下A-B舖,許留山
新界西,元朗區,仁樂坊5號地下,安娜餐廳
新界西,屯門區,香港屯門鄉事會路141-145號巴黎倫敦紐約戲院購物中心地下50號,海皇粥店
新界西,屯門區,屯門市廣場第一期,Outback Steakhouse
新界西,荃灣區,河背街82號,泰皇
新界西,荃灣區,惠荃道22-66號綠楊坊2樓S33-34鋪,越棧
新界西,葵青區,"新都會廣場 號 4 樓 410-412 號 舖, 223 Hing Fong Rd, Kwai Fong, 香港",少爺18
新界西,葵青區,梨木道110號,Elephant Kitchen
新界西,離島區,長洲長洲北社海傍路11D號舖,興樂菜館
新界西,離島區,東坪洲碼頭,新昌士多
香港島,中西區,中環昭隆街9號B舖地下,新興美食
香港島,中西區,堅尼地城卑路乍街107號,祥香茶餐廳
香港島,南區,香港仔海傍公園,艇仔粉
香港島,南區,香港仔南寧街6-12號香港仔中心五期地下3號舖,越棧越式湯粉專門店香港仔店
香港島,東區,筲箕灣筲箕灣東大街22號,安利魚蛋粉
香港島,東區,上環永吉街18號G/F,檸檬王
香港島,灣仔區,灣仔軒尼詩道225號駱克道市政大廈街市熟食中心2樓,英記茶餐廳
香港島,灣仔區,譚臣道29號,火車頭越南餐室
